"","Fiche","year","Marque","Produit","Date","Support","Format","Secteur","Classe","Groupe","Variété","N° Groupe/Variété","Signature","Script","Incrustation","Titre","Version","Visuel","MotsClés","Thème","Agence","Month","Electric","Hybrid","length","n","Annonceur2"
"1","4704876",2014,"RENAULT CAPTUR","CAPTURCALL FR",2014-01-01,"CNEWS","00:20","AUTOMOBILE TRANSPORT","AUTOMOBILES POIDS LOURDS","AUTOMOBILES","INTERNET AUTOMOBILES",40119,NA,"L'homme (1) : "" Wou !
 (1) ... On va où Monsieur ?
 L'homme (2) : "" Dans le 15ème ! ""
 (1) ... Ça m'arrange pas des masses ! Je veux bien aller à bon port, mais vous me dites bon port ...
 La femme (3) : "" Mais bon port c'est une expression ! 
 (1) ... J'ai vraiment mieux à vous proposer.
 (3) ... C'est une blague ! ""
(1) ... Yes or no ?
 L'homme (4) : "" No ! ""
 L'homme (5) : "" Non, non je rigole pas parce qu'après c'est long ! ""
 (1) ... Vous aimez l'aventure ?
 La femme (6) : "" L'aventure ? ""
 La femme (7) : "" On est tombé sur un artiste ! ""
 La femme (8) : "" C'est pas là le chemin, non ! ""
 (1) ... Je voulais vous proposer un truc c'est dommage !
 (1) ... Et vous, vous allez oser ? ""","#CAPTURCALL. Oui ou non ? Non ... . #CAPTURCALL. Rendez-vous sur capturcall.fr.","EN VOITURE","ET VOUS VOUS ALLEZ OSER","En caméra cachée, un homme invite des personnes à prendre place à l'arrière de sa voiture, une RENAUT CAPTUR, et fait comme si il était taxi.","CAMERA CACHEE","INTERROGATION, HUMOUR AUTRE, NOCTURNE, TWITTER",NA,1,0,0,141,1426,"RENAULT"
"2","4705098",2014,"NISSAN LEAF","NISSAN LEAF ELECTRIQUE",2014-01-01,"CNEWS","00:40","AUTOMOBILE TRANSPORT","AUTOMOBILES POIDS LOURDS","AUTOMOBILES","MODELES ELECTRIQUES-GAMME ELECTRIQUE",40109,"NISSAN. Innovation that excites. Innover autrement.","Voix homme : "" 85 000 conducteurs vivent la sensation ...
 ... 100% électrique au volant de la nouvelle NISSAN LEAF.
 
 ... Rejognez un nouveau courant, et dites adieu à l'essence.
 
 ... Nouvelle NISSAN LEAF 100% électrique à partir de 169€ par mois. ""","Nissan. #NissanLEAF. 100% électrique. Recharge en moins de 30 min*. *à 80%. 3€ le plein*. *Conditons : www.nissan.fr/leaf-plein. Zéro émission en phase de roulage. Connectée à votre smartphone*. *Ordiphones compatibles. 85 000 dans le monde. Nouvelle Nissan LEAF 100% électrique. ExperienceNisaanLEAF.fr. Nissan. Innovation that excites, Innover autrement. 
(1) Ex pour Nissan LEAF Visia neuve avec batterie en Location Longue Durée sur 37 mois - 37 500 Km max. 36 loyers 169 € / mois : soit par véhicule 36 loyers 90 €/mois et pour batterie 36 loyers 79 € / mois. Offre valable jusqu'au 31/03/2014 chez les Concessionnaires Nissan participants. voir détails sur nissan-offres.fr.  Nissan Leaf A partir de 169 € / mois(1) . Location Longue Durée sur 37 mois avec un premier loyer de 3 779 € (bonus écologique de 6 300 € déduit). Modèle présenté : Nissan LEAF Tekna option peinture métal. LLD 1er loyer de 3 779 €, bonus écologique déduit et 36 loyers de 253 €.","LA SENSATION 100% ELECTRIQUE","M. 85000 CONDUCT.31/03/14","Un homme recharge sa NISSAN LEAF et traverse une ville. A son passage, l'énergie que dégage la voiture fait s'envoler des objets que les passants ont dans les mains.","BALLON","INNOVATION, UNIVERS URBAIN, ANGLAIS, EFFET, SIGNATURE ETRANGERE, ENVIRONNEMENT AUTRE","TBWA",1,1,0,165,343,"NISSAN AUTOMOBILES"
"3","4706333",2014,"CITROEN C3","CITROEN LES OFFRES QUI TOMBENT A PIC C3",2014-01-02,"BFM TV","00:30","AUTOMOBILE TRANSPORT","AUTOMOBILES POIDS LOURDS","AUTOMOBILES","MODELES & OPERATION SPECIALE",40102,"CITROEN, creative technologie.","La femme (1) : "" C'est votre voiture ?
 L'homme (2) : "" Oui !
 (1) ... On peut dire que vous avez une chance extraordinaire.
 (2) ... Ah oui ! Une chance incroyable !
 (2) ... Elle est complètement foutue !
 (1) ... Mais quand on voit ça, c'est surtout vous qui avez eu de la chance !
 (2) ... Ah oui, oui ! Elle est bonne pour la casse !
 (2) ... Oh ! Le bol !
 (2) ... Merci, merci !
 Voix femme (3) : "" C'est le moment de profiter des offres qui tombent à pic.
 (3) ... CITROEN C3 vitamine climatisée est à seulement 9 990 euros. ""","www.citroencarstore.fr. (1) Reste à payer pour C3 VT1 G8 Pure Tech Vitamine neuve, déduction faite de 4 660 euros de prime Verte CITROEN pour la reprise d'un véhicule >8 ans. Offre limitée à 1000 exemplaires non cumulables valable jusqu'au 31/01/14 dans le réseau participant. C02 : 87 à 150 g/km. Conditions sur citroencarstore.fr. Modèle présenté : C3 VTi 82 Pure Tech Exclusive avec options à 14 430 euros (Prime verte Citroën déduite). CITROEN C3 VITAMINE. A partir de 9 990 euros (1) Sous condition de reprise 5 portes peinture métallisée. Origine France Garantie. Radio CD MP3. Climatisation. CITROEN, creative technologie.","LA MÉTÉORITE","E. METEOR.VITAMINE 9990E","Des journalistes interrogent un homme qui vient d'être victime d'un accident, une météorite est tombée sur sa voiture et la écrasée. La journaliste reste stupéfaite par la chance que l'homme a eu de ne pas se faire écraser, mais l'individu ne voit pas les choses de la même manière il est tout heureux et va enfin pouvoir changer de véhicule.","CHANCE , POMPIER , CAMERA , INTERVIEW , METEORITE , SIRENE DE POMPIER","ORIGINE, GARANTIE, ESPACE, JOURNALISTIQUE, DISCOURS DECALE AUTRE, JOIE, ETONNANT, ETONNEMENT, AMBIANCE AUTRE, HUMOUR AUTRE, DANGER","LES GAULOIS",1,0,0,342,815,"CITROEN"
"4","4706335",2014,"CITROEN C4","CITROEN LES OFFRES QUI TOMBENT A PIC C4",2014-01-02,"BFM TV","00:30","AUTOMOBILE TRANSPORT","AUTOMOBILES POIDS LOURDS","AUTOMOBILES","MODELES & OPERATION SPECIALE",40102,"CITROEN, creative technologie.","La femme (1) : "" C'est votre voiture ?
 L'homme (2) : "" Oui !
 (1) ... On peut dire que vous avez une chance extraordinaire.
 (2) ... Ah oui ! Une chance incroyable !
 (2) ... Elle est complètement foutue !
 (1) ... Mais quand on voit ça, c'est surtout vous qui avez eu de la chance !
 (2) ... Ah oui, oui ! Elle est bonne pour la casse !
 (2) ... Oh ! Le bol !
 (2) ... Merci, merci !
 Voix femme (3) : "" C'est le moment de profiter des offres qui tombent à pic.
 (3) ... CITROEN C4 vitamine climatisée est à seulement 12 990 euros. ""","www.citroencarstore.fr.  Citroën C4 Vitamine. A partir de 12 990 €(1) Sous condition de reprise. Peinture métallisée, Radio CD MP3, climatisation, Régulateur de vitesse.  Origine France garantie.  CITROEN, creative technologie. (1) Reste à payer pour C4 VTi 95 Vitamine neuve, déduction faite de 5 960 € de Prime Verte Citroën pour la reprise d'un  véhicule >8 ans. Offre limitée à 300 exemplaires non cumulable valable jusqu'au 31/01/2014 dans le réseau participant.CO2 : 97 à 162 g/Km Conditions sur citroencarstore.fr. Modèle présenté ;  e-HDi C115 BVM6 Exclusive avec options à 23 710 € (Prime Verte Citroën déduite).","LE MÉTÉORITE","E. METEOR.VITAMINE 12990E","Des journalistes interrogent un homme qui vient d'être victime d'un accident, une météorite est tombée sur sa voiture et la écrasée. La journaliste reste stupéfaite par la chance que l'homme a eu de ne pas se faire écraser, mais l'individu ne voit pas les choses de la même manière il est tout heureux et va enfin pouvoir changer de véhicule.","CHANCE , POMPIER , CAMERA , INTERVIEW , METEORITE , SIRENE DE POMPIER","ORIGINE, GARANTIE, ESPACE, JOURNALISTIQUE, DISCOURS DECALE AUTRE, JOIE, ETONNANT, ETONNEMENT, AMBIANCE AUTRE, HUMOUR AUTRE, DANGER","LES GAULOIS",1,0,0,342,815,"CITROEN"
"5","4706394",2014,"CITROEN C1","CITROEN LES OFFRES QUI TOMBENT A PIC C1",2014-01-02,"FRANCE 2","00:30","AUTOMOBILE TRANSPORT","AUTOMOBILES POIDS LOURDS","AUTOMOBILES","MODELES & OPERATION SPECIALE",40102,"CITROEN, creative technologie.","La femme (1) : "" C'est votre voiture ?
 L'homme (2) : "" Oui !
 (1) ... On peut dire que vous avez une chance extraordinaire.
 (2) ... Ah oui ! Une chance incroyable !
 (2) ... Elle est complètement foutue !
 (1) ... Mais quand on voit ça, c'est surtout vous qui avez eu de la chance !
 (2) ... Ah oui, oui ! Elle est bonne pour la casse !
 (2) ... Oh ! Le bol !
 (2) ... Merci, merci !
 Voix femme (3) : "" C'est le moment de profiter des offres qui tombent à pic.
 (3) ... CITROEN C1 vitamine climatisé est à seulement 7 790 euros. ""","www.citroencarstore.fr. (1) Reste à payer pour C1 3 portes Vitamine neuve, déduction faite de 3 810 euros de prime Verte CITROEN pour la reprise d'un véhicule >8 ans. Offre limitée à 300 exemplaires non cumulables valable jusqu'au 31/01/14 dans le réseau participant. C02 : 99 à 104 g/km. Conditions sur citroencarstore.fr. Modèle présenté : C1 5 portes 1.01 BVM Confort avec option à 9 450 euros. (Prime verte CITROEN déduite). CITROEN C1 VITAMINE à partir de 7 790 euros (1)  Sous condition de reprise. ESP, peinture métallisée, radio CD. Climatisation. CITROEN, creative technologie.","LE MÉTÉORITE","E. METEOR.VITAMINE 7790E","Des journalistes interrogent un homme qui vient d'être victime d'un accident, une météorite est tombée sur sa voiture et la écrasée. La journaliste reste stupéfaite par la chance que l'homme a eu de ne pas se faire écraser, mais l'individu ne voit pas les choses de la même manière il est tout heureux et va enfin pouvoir changer de véhicule","CHANCE , POMPIER , CAMERA , INTERVIEW , METEORITE , SIRENE DE POMPIER","ESPACE, JOURNALISTIQUE, DISCOURS DECALE AUTRE, JOIE, ETONNANT, ETONNEMENT, AMBIANCE AUTRE, HUMOUR AUTRE, DANGER","LES GAULOIS",1,0,0,341,815,"CITROEN"
"6","4707557",2014,"FORD B MAX","FORD B MAX",2014-01-03,"FRANCE 2","00:30","AUTOMOBILE TRANSPORT","AUTOMOBILES POIDS LOURDS","AUTOMOBILES","MODELES AUTOMOBILES",40104,"FORD. Go Further. Allons plus loin.","Voix homme : "" Pas de montant central, pas d'obstacle.
 ... FORD B-MAX, avec système de portes Easy Access.
 
 
 
 ... A partir de 12990 euros sans condition de reprise. ""","*Prix maxi TTC au 01/01/14 du B-MAX Trend 1.4 90ch type 05-12 avec Audio pack déduit de 4 360 € de remise. Offre non cumulable réservée aux particuliers pour tout achat de ce B-MAX neufs, jusqu'au 31/01/14, dans le réseau FORD participant. Modèle présenté : B-MAX Titanium 1.0 EcoBoost 125ch S&S avec peinture métallisée Burnished Glow, Cuir/tissu (détails sur le cuir utilisé sur ford.fr), jantes alliage 17'',  packs Panoramique et Easy City, prix déduit de la remise : 18950€.  Ouverture des portes uniquement manuelle. FORD B-MAX > Easy access**. **Portes arrière coulissantes et montant central intégré aux portes.   FORD B-MAX > Trend à partir de 12 990 €* sans condition de reprise. Avec air conditionné et Système Ford SYNC. Ouverture dimanche 19 selon autorisation. FORD. Go Further. Allons plus loin. ford.fr.","LE PLONGEON","M. PORTES OUVERTES DIM 19","FORD B-MAX > Easy access**. **Portes arrière coulissantes et montant central intégré aux portes.","PISCINE , PLONGEON , CONCENTRATION , PORTE LATERALE","PRATIQUE, DOUBLE SIGNATURE, LIBERTE, SUSPENSE, EXPLOIT, ETONNANT","OGILVY & MATHER",1,0,0,96,229,"FORD"
"7","4707677",2014,"KIA RIO","KIA RIO",2014-01-04,"CNEWS","00:20","AUTOMOBILE TRANSPORT","AUTOMOBILES POIDS LOURDS","AUTOMOBILES","MODELES AUTOMOBILES",40104,"KIA, Le pouvoir de surprendre.","Voix femme (1) : "" Comme la vie serait plus facile si on se connectait entre nous instantanément.
 
 (1) ... Comme dans la KIA RIO et sa connectique bluetooth.
 
 (1) ... KIA RIO à partir de 8 990 €. ""
 Voix homme (2) : "" Découvrez la technologie qui vous facilite la vie, sur toute la gamme KIA, ...
 (2) ... aux journées portes ouvertes les 18 et 19 janvier.
 (2) ... KIA. ""","7 ans garantie*. www.kia.com. Connectique Bluetooth. Kia Rio sous condition de reprise à partir de 8 990 €(1). Gammes KIA, la technologie qui vous facilite la vie. Venga. Rio. Sportage. Cee'd. nouveau Carens. A découvrir chez nos 210 concessionnaires aux Portes Ouvertes du 18 au 19 janvier (2). KIA le pouvoir de surprendre. *Garantie 7 ans ou 150 000 Km, hors véhicules utilitaires ou à usage commercial. Voir conditions sur kia.com. (1) Prix de la KIA Rio Motion 1.2 L Essence 85 ch BVM5 : 1 860 € de remise, 1 500 € de reprise pour véhicule de plus de 10 ans déduits. Modèle présenté : KIA Rio 5 portes Premium 1.4 L essence 109 ch BVM 5 avec peinture métallisée (470 €) : 16 020 € 1 500 € de remise  et 1 000 € de reprise pour véhicule  de moins de 10 ans déduits. Conditions de reprise sur kia.com. Offres valables jusqu'au 31/01/2014. (2) Selon autorisation.","LE BAISER","M. PO 18&19/01 8990E","Dans un restaurant, un homme et une femme inconnus l'un à l'autre et placés à différentes tables se lèvent d'un seul coup et se retrouvent pour s'embrasser fougueusement.","PORTE OUVERTE , HYPOTHESE , ET SI , RÉALITÉ","COMPARAISON, SEDUCTION, PRATIQUE, GARANTIE, CHOIX, QUOTIDIEN, PENSEE POSITIVE, DISCOURS PRIX","INNOCEAN WORLDWIDE FRANCE",1,0,0,170,218,"KIA"
"8","4707685",2014,"KIA CEED","KIA CEE D",2014-01-04,"CNEWS","00:20","AUTOMOBILE TRANSPORT","AUTOMOBILES POIDS LOURDS","AUTOMOBILES","MODELES AUTOMOBILES",40104,"KIA, le pouvoir de surprendre.","Voix femme (1) : "" La vie serait plus facile ...
 (1) ... si on pouvait s'installer à une place sans faire aucun effort. 
 
 
 (1) ... Comme avec la KIA CEE'D et son système actif d'aide au stationnement. 
 (1) ... KIA CEE'D à partir de 13 990 €. ""
 Voix homme (2) : "" Découvrez  la technologie qui vous facilite la vie sur toute la gamme KIA, ...
 (2) ... aux journées portes ouvertes les 18 et 19 janvier. KIA. ""","7 ans garantie KIA. www.kia.com. Système actif d'aide au stationnement. Kia Cee'd sous condition de reprise à partir de 13 990 € (1). Gammes KIA, la technologie qui vous facilite la vie. Venga. Rio. Sportage. Cee'd. Nouveau Carens. A découvrir chez nos 210 concessionnaires aux Portes Ouvertes du 18 au 19 janvier (2). Kia, le pouvoir de surprendre. *Garantie 7 ans, ou 150 000 Km, hors véhicules utilitaires ou à usage commercial, Voir conditions sur kia.com. (1) Prix de la Kia Cee'd Motion 1.4 L essence 100 ch 15G BVM5 : 2 360 € de remise et 1 000 € de reprise déduits. Modèle présenté : Kia cee'd premium 1.5L essence GDi 135 ch BVM5 avec peinture métallisée (570 €) et Pack Ultimate (2 800 €) : 23 020 € 2 000 de remise et 1 000 € de reprise déduits. Conditions de reprise sur kia.com. Offres valables jusqu'au 31/01/2014. (2) Selon autorisation.","LE MATCH DE TENNIS","M. PO LE 18&19/01 13990E","Dans les gradins d'un court de tennis, une femme marche à l'envers et revient à sa place assise. Le bruit de ses pas coïncident avec le bruit de la balle tapant le tamis.","PORTE OUVERTE , BRUIT DE PAS , BRUIT DE BALLE","COMPARAISON, PRATIQUE, GARANTIE, CHOIX, TENNIS, PENSEE POSITIVE, DISCOURS PRIX, BRUITAGE AUTRE","INNOCEAN WORLDWIDE FRANCE",1,0,0,170,218,"KIA"
"9","4707705",2014,"TOYOTA AURIS","TOYOTA AURIS HYBRIDE",2014-01-04,"NRJ12","00:30","AUTOMOBILE TRANSPORT","AUTOMOBILES POIDS LOURDS","AUTOMOBILES","MODELES HYBRIDES-GAMME HYBRIDE",40110,NA,"Voix homme (1) : "" Le monde de demain ne sera meilleur que si la technologie automobile y participe.
 
 (1) ... C'est pour cela, qu'en janvier 2014, TOYOTA double le bonus écologique sur l'AURIS HYBRIDE.
 (1) ... Soit jusqu'à 4 000 € d'économie.  ""
Voix femme : "" TOYOTA. ""","Toyota présenté L'année 2050. Bonus écologique X2. Auris Hybride. Jusqu'à 4 000 € d'économie* dont 1 900 € de bonus écologique. Toyota. Toujours mieux, toujours plus loin. Consommations mixtes (L/100Km) et émissions de CO2 (g/Km) Auris Hybride : de 3.6 à 3.9 et de 84 à 91 / Auris Tourning Sports Hybride : de 3.6 à 3.9 et de 85 à 92. *Offre aux particuliers non cumulable jusqu'au 28/02 dans le réseau participant pour une Auris Hybrid Dynamic, doublement du Bonus Ecologique prenant la forme d'une remise exceptionnelle de 2 100 € soit 4 000 € cumulable selon décret n°2007-1873 modifié le 01/11/13.","2050","M. ANNEE 2050 4000E","Vision du monde en 2050 où les nouvelles technologies rendent le monde meilleur. Seule la technologie automobile restée à ses débuts continue de polluer la planète.","GRATTE CIEL , POLLUTION , MUSIQUE CLASSIQUE , ECRAN TACTILE , NOUVELLE TECHNOLOGIE , 2001 L'ODYSSEE DE L'ESPACE","FUTUR, UNIVERS URBAIN, REFERENCE A, DEMONSTRATION PAR L'ABSURDE, MUSIQUE CELEBRE, ENVIRONNEMENT AUTRE, TEST AUTRE, NOUVEAUTE AUTRE, AVENIR","SAATCHI & SAATCHI",1,0,1,164,498,"TOYOTA"
"10","4707714",2014,"TOYOTA YARIS","TOYOTA YARIS HYBRIDE",2014-01-04,"NRJ12","00:30","AUTOMOBILE TRANSPORT","AUTOMOBILES POIDS LOURDS","AUTOMOBILES","MODELES HYBRIDES-GAMME HYBRIDE",40110,"Toyota Toujours mieux toujours plus loin.","Voix homme (1) : "" Le monde de demain ne sera meilleure que si la technologie automobile y participe.
 
 (1) ... C'est pour cela, qu'en janvier 2014, TOYOTA double le bonus écologique sur la YARIS HYBRIDE.
 (1) ... Soit une économie de 3 300 €.  ""
Voix femme : "" TOYOTA. ""","Toyota présenté L'année 2050. Bonus écologique X2. Yaris Hybride soit 3 330 € d'économie*. Toyota. Toujours mieux, toujours plus loin. Consommations mixtes (L/100Km) et émissions de CO2 (g/Km) :  de 3.5 à 3.7 et de 79 à 85. *Offre aux particuliers non cumulable jusqu'au 28/02 dans le réseau participant pour une Yaris Hybrid, doublement du Bonus Ecologique prenant la forme d'une remise exceptionnelle de 1 650 € soit 3 300 € cumulés selon décret n°2007-1873 modifié le 01/11/13.","2050","M. ANACHRONISME JANVIER","Vision du monde en 2050 où les nouvelles technologies rendent le monde meilleur. Seule la technologie automobile restée à ses débuts continue de polluer la planète.","GRATTE CIEL , POLLUTION , MUSIQUE CLASSIQUE , ECRAN TACTILE , NOUVELLE TECHNOLOGIE , 2001 L'ODYSSEE DE L'ESPACE","FUTUR, UNIVERS URBAIN, REFERENCE A, DEMONSTRATION PAR L'ABSURDE, MUSIQUE CELEBRE, ENVIRONNEMENT AUTRE, TEST AUTRE, NOUVEAUTE AUTRE, AVENIR","SAATCHI & SAATCHI",1,0,1,164,498,"TOYOTA"
