,Script_Index,Phrase,Tokens,Nbr_tokens,Type_voix,Genre,Script_Original
0,0,Wou !,['wou'],1,Acteur,Homme,"L'homme (1) : "" Wou !
 (1) ... On va où Monsieur ?
 L'homme (2) : "" Dans le 15ème ! ""
 (1) ... Ça m'arrange pas des masses ! Je veux bien aller à bon port, mais vous me dites bon port ...
 La femme (3) : "" Mais bon port c'est une expression ! 
 (1) ... J'ai vraiment mieux à vous proposer.
 (3) ... C'est une blague ! ""
(1) ... Yes or no ?
 L'homme (4) : "" No ! ""
 L'homme (5) : "" Non, non je rigole pas parce qu'après c'est long ! ""
 (1) ... Vous aimez l'aventure ?
 La femme (6) : "" L'aventure ? ""
 La femme (7) : "" On est tombé sur un artiste ! ""
 La femme (8) : "" C'est pas là le chemin, non ! ""
 (1) ... Je voulais vous proposer un truc c'est dommage !
 (1) ... Et vous, vous allez oser ? """
1,0,Dans le 15ème !,"['dans', 'le', '15èm']",3,Acteur,Homme,"L'homme (1) : "" Wou !
 (1) ... On va où Monsieur ?
 L'homme (2) : "" Dans le 15ème ! ""
 (1) ... Ça m'arrange pas des masses ! Je veux bien aller à bon port, mais vous me dites bon port ...
 La femme (3) : "" Mais bon port c'est une expression ! 
 (1) ... J'ai vraiment mieux à vous proposer.
 (3) ... C'est une blague ! ""
(1) ... Yes or no ?
 L'homme (4) : "" No ! ""
 L'homme (5) : "" Non, non je rigole pas parce qu'après c'est long ! ""
 (1) ... Vous aimez l'aventure ?
 La femme (6) : "" L'aventure ? ""
 La femme (7) : "" On est tombé sur un artiste ! ""
 La femme (8) : "" C'est pas là le chemin, non ! ""
 (1) ... Je voulais vous proposer un truc c'est dommage !
 (1) ... Et vous, vous allez oser ? """
2,0,Mais bon port c'est une expression !,"['mais', 'bon', 'port', 'ce', 'être', 'un', 'expression']",7,Acteur,Femme,"L'homme (1) : "" Wou !
 (1) ... On va où Monsieur ?
 L'homme (2) : "" Dans le 15ème ! ""
 (1) ... Ça m'arrange pas des masses ! Je veux bien aller à bon port, mais vous me dites bon port ...
 La femme (3) : "" Mais bon port c'est une expression ! 
 (1) ... J'ai vraiment mieux à vous proposer.
 (3) ... C'est une blague ! ""
(1) ... Yes or no ?
 L'homme (4) : "" No ! ""
 L'homme (5) : "" Non, non je rigole pas parce qu'après c'est long ! ""
 (1) ... Vous aimez l'aventure ?
 La femme (6) : "" L'aventure ? ""
 La femme (7) : "" On est tombé sur un artiste ! ""
 La femme (8) : "" C'est pas là le chemin, non ! ""
 (1) ... Je voulais vous proposer un truc c'est dommage !
 (1) ... Et vous, vous allez oser ? """
3,0,No !,['no'],1,Acteur,Homme,"L'homme (1) : "" Wou !
 (1) ... On va où Monsieur ?
 L'homme (2) : "" Dans le 15ème ! ""
 (1) ... Ça m'arrange pas des masses ! Je veux bien aller à bon port, mais vous me dites bon port ...
 La femme (3) : "" Mais bon port c'est une expression ! 
 (1) ... J'ai vraiment mieux à vous proposer.
 (3) ... C'est une blague ! ""
(1) ... Yes or no ?
 L'homme (4) : "" No ! ""
 L'homme (5) : "" Non, non je rigole pas parce qu'après c'est long ! ""
 (1) ... Vous aimez l'aventure ?
 La femme (6) : "" L'aventure ? ""
 La femme (7) : "" On est tombé sur un artiste ! ""
 La femme (8) : "" C'est pas là le chemin, non ! ""
 (1) ... Je voulais vous proposer un truc c'est dommage !
 (1) ... Et vous, vous allez oser ? """
4,0,"Non, non je rigole pas parce qu'après c'est long !","['non', 'non', 'je', 'rigole', 'pas', 'parce', 'que', 'après', 'ce', 'être', 'long']",11,Acteur,Homme,"L'homme (1) : "" Wou !
 (1) ... On va où Monsieur ?
 L'homme (2) : "" Dans le 15ème ! ""
 (1) ... Ça m'arrange pas des masses ! Je veux bien aller à bon port, mais vous me dites bon port ...
 La femme (3) : "" Mais bon port c'est une expression ! 
 (1) ... J'ai vraiment mieux à vous proposer.
 (3) ... C'est une blague ! ""
(1) ... Yes or no ?
 L'homme (4) : "" No ! ""
 L'homme (5) : "" Non, non je rigole pas parce qu'après c'est long ! ""
 (1) ... Vous aimez l'aventure ?
 La femme (6) : "" L'aventure ? ""
 La femme (7) : "" On est tombé sur un artiste ! ""
 La femme (8) : "" C'est pas là le chemin, non ! ""
 (1) ... Je voulais vous proposer un truc c'est dommage !
 (1) ... Et vous, vous allez oser ? """
5,0,L'aventure ?,"['le', 'aventure']",2,Acteur,Femme,"L'homme (1) : "" Wou !
 (1) ... On va où Monsieur ?
 L'homme (2) : "" Dans le 15ème ! ""
 (1) ... Ça m'arrange pas des masses ! Je veux bien aller à bon port, mais vous me dites bon port ...
 La femme (3) : "" Mais bon port c'est une expression ! 
 (1) ... J'ai vraiment mieux à vous proposer.
 (3) ... C'est une blague ! ""
(1) ... Yes or no ?
 L'homme (4) : "" No ! ""
 L'homme (5) : "" Non, non je rigole pas parce qu'après c'est long ! ""
 (1) ... Vous aimez l'aventure ?
 La femme (6) : "" L'aventure ? ""
 La femme (7) : "" On est tombé sur un artiste ! ""
 La femme (8) : "" C'est pas là le chemin, non ! ""
 (1) ... Je voulais vous proposer un truc c'est dommage !
 (1) ... Et vous, vous allez oser ? """
6,0,On est tombé sur un artiste !,"['on', 'être', 'tomber', 'sur', 'un', 'artiste']",6,Acteur,Femme,"L'homme (1) : "" Wou !
 (1) ... On va où Monsieur ?
 L'homme (2) : "" Dans le 15ème ! ""
 (1) ... Ça m'arrange pas des masses ! Je veux bien aller à bon port, mais vous me dites bon port ...
 La femme (3) : "" Mais bon port c'est une expression ! 
 (1) ... J'ai vraiment mieux à vous proposer.
 (3) ... C'est une blague ! ""
(1) ... Yes or no ?
 L'homme (4) : "" No ! ""
 L'homme (5) : "" Non, non je rigole pas parce qu'après c'est long ! ""
 (1) ... Vous aimez l'aventure ?
 La femme (6) : "" L'aventure ? ""
 La femme (7) : "" On est tombé sur un artiste ! ""
 La femme (8) : "" C'est pas là le chemin, non ! ""
 (1) ... Je voulais vous proposer un truc c'est dommage !
 (1) ... Et vous, vous allez oser ? """
7,0,"C'est pas là le chemin, non !","['ce', 'être', 'pas', 'là', 'le', 'chemin', 'non']",7,Acteur,Femme,"L'homme (1) : "" Wou !
 (1) ... On va où Monsieur ?
 L'homme (2) : "" Dans le 15ème ! ""
 (1) ... Ça m'arrange pas des masses ! Je veux bien aller à bon port, mais vous me dites bon port ...
 La femme (3) : "" Mais bon port c'est une expression ! 
 (1) ... J'ai vraiment mieux à vous proposer.
 (3) ... C'est une blague ! ""
(1) ... Yes or no ?
 L'homme (4) : "" No ! ""
 L'homme (5) : "" Non, non je rigole pas parce qu'après c'est long ! ""
 (1) ... Vous aimez l'aventure ?
 La femme (6) : "" L'aventure ? ""
 La femme (7) : "" On est tombé sur un artiste ! ""
 La femme (8) : "" C'est pas là le chemin, non ! ""
 (1) ... Je voulais vous proposer un truc c'est dommage !
 (1) ... Et vous, vous allez oser ? """
8,1,85 000 conducteurs vivent la sensation ...,"['85', '000', 'conducteur', 'vivre', 'le', 'sensation']",6,Voix-off,Homme,"Voix homme : "" 85 000 conducteurs vivent la sensation ...
 ... 100% électrique au volant de la nouvelle NISSAN LEAF.
 
 ... Rejognez un nouveau courant, et dites adieu à l'essence.
 
 ... Nouvelle NISSAN LEAF 100% électrique à partir de 169€ par mois. """
9,2,C'est votre voiture ?,"['ce', 'être', 'votre', 'voiture']",4,Acteur,Femme,"La femme (1) : "" C'est votre voiture ?
 L'homme (2) : "" Oui !
 (1) ... On peut dire que vous avez une chance extraordinaire.
 (2) ... Ah oui ! Une chance incroyable !
 (2) ... Elle est complètement foutue !
 (1) ... Mais quand on voit ça, c'est surtout vous qui avez eu de la chance !
 (2) ... Ah oui, oui ! Elle est bonne pour la casse !
 (2) ... Oh ! Le bol !
 (2) ... Merci, merci !
 Voix femme (3) : "" C'est le moment de profiter des offres qui tombent à pic.
 (3) ... CITROEN C3 vitamine climatisée est à seulement 9 990 euros. """
