Produit,Modèle,Longueur (mm),Largeur (mm),Hauteur (mm)
CAPTURCALL FR,Renault Captur,4228,1797,1566
NISSAN LEAF ELECTRIQUE,Nissan Leaf,4490,1789,1540
CITROEN LES OFFRES QUI TOMBENT A PIC C3,Citroën C3,3996,1748,1474
CITROEN LES OFFRES QUI TOMBENT A PIC C4,Citroën C4,4360,1800,1489
CITROEN LES OFFRES QUI TOMBENT A PIC C1,Citroën C1,3466,1615,1460
FORD B MAX,Ford B-MAX,4077,1751,1604
KIA RIO,Kia Rio,4065,1725,1455
KIA CEE D,Kia Ceed,4510,1800,1470
TOYOTA AURIS HYBRIDE,Toyota Auris,4330,1760,1460
TOYOTA YARIS HYBRIDE,Toyota Yaris,3940,1695,1500
NISSAN LES DECLICS MICRA,Nissan Micra,3999,1743,1455
NISSAN LES DECLICS NOTE,Nissan Note,4100,1695,1520
PEUGEOT TVA 0% GAMME,Peugeot (Gamme),-,-,-
SKODA RAPID SPACEBACK,Škoda Rapid Spaceback,4304,1706,1461
OPEL CORSA,Opel Corsa,4060,1765,1433
CHEVROLET SPARK,Chevrolet Spark,3695,1597,1522
KIA SOUL P#,Kia Soul,4140,1800,1600
CITROEN C4,Citroën C4,4360,1800,1489
RENAULT MEGANE,Renault Mégane,4359,1806,1435
ALFA GIULIETTA,Alfa Romeo Giulietta,4351,1798,1465
VW GAMME AUTOS,Volkswagen (Gamme),-,-,-
RENAULTSHOP FR,Renault (Gamme),-,-,-
SEAT LEON BK,SEAT León,4282,1816,1459
MINI COUNTRYMAN GETAway,MINI Countryman,4299,1822,1557
FORD FIESTA,Ford Fiesta,4068,1735,1476
CHEVROLET GAMME AUTO,Chevrolet (Gamme),-,-,-
DS DS3,DS 3,3948,1715,1483
BMW GAMME AUTOS,BMW (Gamme),-,-,-
PEUGEOT 3008,Peugeot 3008,4447,1841,1624
LANCIA YPSILON S STADE FRANCE,Lancia Ypsilon,3840,1648,1500
SUZUKI S CROSS,Suzuki SX4 S-Cross,4300,1785,1585
FORD FOCUS,Ford Focus,4378,1825,1484
OPEL MOKKA,Opel Mokka,4135,1777,1647
KIA CARENS,Kia Cee'd,4510,1800,1470
FIAT 500,Fiat 500,3571,1627,1488
RENAULT CLIO,Renault Clio,4050,1732,1440
RANGE ROVER EVOQUE,Range Rover Evoque,4371,1900,1649
DACIA DUSTER,Dacia Duster,4341,1804,1693
HYUNDAI I10,Hyundai i10,3665,1660,1500
NISSAN QASHQAI,Nissan Qashqai,4394,1806,1590
SKODA YETI,Škoda Yeti,4223,1793,1691
PEUGEOT 308,Peugeot 308,4253,1820,1457
MAZDA CX 5,Mazda CX-5,4550,1840,1680
LEXUS IS 300 HYBRIDE,Lexus IS 300h,4670,1810,1430
VOLVO PRESTIGE AUTOMOBILE,Volvo (Gamme),-,-,-
RENAULT CAPTUR,Renault Captur,4228,1797,1566
FIAT 500 L,Fiat 500L,4147,1784,1667
VW TIGUAN CUP DI,Volkswagen Tiguan,4486,1839,1672
PEUGEOT 2008,Peugeot 2008,4159,1749,1556
OPEL ADAM,Opel Adam,3698,1720,1498
DS DS5 DI,DS 5,4530,1871,1520
OPEL INSIGNIA BK,Opel Insignia,4897,1856,1460
CITROEN C4 PICASSO DI,Citroën C4 Picasso,4428,1826,1624
CITROEN C4 PICASSO MUSICBOX DI,Citroën C4 Picasso,4428,1826,1624
CITROEN C3 PICASSO MUSICBOX DI,Citroën C3 Picasso,4078,1769,1624
RENAULT ZOE ELECTRIQUE,Renault Zoe,4084,1730,1562
CITROEN C3 MUSICBOX,Citroën C3,3996,1748,1474
CITROEN C4 MUSICBOX DI,Citroën C4,4360,1800,1489
NISSAN LES DECLICS JUKE,Nissan Juke,4135,1765,1570
RENAULT FRENCH TOUCH,Renault (Gamme),-,-,-
DACIA SANDERO,Dacia Sandero,4088,1733,1517
OPEL MERIVA,Opel Meriva,4288,1812,1615
CHEVROLET CRUZE,Chevrolet Cruze,4666,1795,1477
SKODA FABIA TOUR DE FRANCE,Škoda Fabia,3992,1732,1467
ALFA MITO,Alfa Romeo MiTo,4063,1720,1446
TOYOTA YARIS TENDANCE PACK RELAX,Toyota Yaris,3940,1695,1500
FIAT 500 LA PETITE ROBE NOIRE BY GUERLAIN,Fiat 500,3571,1627,1488
MERCEDES GLA,Mercedes-Benz GLA,4417,1834,1602
KIA PACK INTEGRAL SPORTAGE,Kia Sportage,4480,1850,1635
KIA SPORTAGE,Kia Sportage,4480,1850,1635
FORD C MAX,Ford C-MAX,4380,1828,1626
SKODA FABIA,Škoda Fabia,3992,1732,1467
MINI,MINI (Gamme),-,-,-
SEATSECOMPARE COM,SEAT (Gamme),-,-,-
SKODA GAMME AUTOS,Škoda (Gamme),-,-,-
DS DS3 DARK ROSE,DS 3,3948,1715,1483
PEUGEOT 208,Peugeot 208,3996,1739,1460
TOYOTA RAV4 DI,Toyota RAV4,4600,1855,1660
CITROEN C5 BK,Citroën C5,4779,1860,1459
OPEL ASTRA,Opel Astra,4370,1809,1485
MERCEDES CL.C,Mercedes-Benz Classe C,4686,1810,1442
CITROEN C1 MUSICBOX,Citroën C1,3466,1615,1460
CHEVROLET TRAX,Chevrolet Trax,4248,1776,1674
CITROEN C3 PICASSO MUSICBOX,Citroën C3 Picasso,4078,1769,1624
DACIA JOURS DACIA ADDICT DUSTER,Dacia Duster,4341,1804,1693
FIAT GAMME AUTOS,Fiat (Gamme),-,-,-
RENAULT SERVICES,Renault (Services),-,-,-
NISSAN NOTE,Nissan Note,4100,1695,1520
VOLVO V40 EFFEKTIV LINE,Volvo V40,4369,1802,1439
SKODA OCTAVIA RS,Škoda Octavia RS,4689,1814,1465
VW GOLF CUP,Volkswagen Golf,4258,1799,1452
JEEP CHEROKEE,Jeep Cherokee,4624,1903,1676
ALFA 4C,Alfa Romeo 4C,3989,1868,1183
PEUGEOT 308 SW,Peugeot 308 SW,4585,1820,1474
LANCIA YPSILON ELEFANTINO,Lancia Ypsilon,3840,1648,1500
MERCEDES AMG GLA45,Mercedes-AMG GLA 45,4417,1834,1602
SUZUKI JOURS STYLE SWIFT,Suzuki Swift,3840,1695,1500
TOYOTA GAMME HYBRIDE,Toyota (Gamme Hybride),-,-,-
CITROEN C4 PICASSO COLLECTION DI,Citroën C4 Picasso,4428,1826,1624
RENAULT CLIO BK,Renault Clio,4050,1732,1440
TOYOTA AURIS HYBRIDE DYNAMIC,Toyota Auris Hybride,4330,1760,1460
VW OFFRES DU MOMENT TOURAN,Volkswagen Touran,4527,1829,1665
VW OFFRES DU MOMENT TIGUAN,Volkswagen Tiguan,4486,1839,1672
KIA CARENS FIFA WORLD CUP DI,Kia Cee'd,4510,1800,1470
DS DS4,DS 4,4275,1810,1530
TOYOTA VERSO DI,Toyota Verso,4440,1790,
VW BLUEMOTION POLO DI,Volkswagen Polo,3972,1682,1461
FIAT 500 COLOR THERAPY,Fiat 500,3571,1627,1488
PEUGEOT LES GRANDS ESSAIS,Peugeot (Gamme),-,-,-
CITROEN C4 CACTUS,Citroën C4 Cactus,4157,1729,1480
PORSCHE 919 COMPETITION,Porsche 919 Hybrid,4650,1900,1050
RENAULT FRENCH TOUCH CLIO,Renault Clio,4050,1732,1440
ALFA LES PURES EMOTIONS,Alfa Romeo (Gamme),-,-,-
SKODA JOURS CONTRE LA MONTRE FABIA,Škoda Fabia,3992,1732,1467
VW GOLF SPORTSVAN,Volkswagen Golf Sportsvan,4338,1807,1507
TOYOTA AYGO,Toyota Aygo,3455,1615,1460
RENAULT FRENCH TOUCH TWINGO,Renault Twingo,3600,1646,1559
CITROEN BERLINGO MULTISPACE PASSION BLEUS DI,Citroën Berlingo Multispace,4380,1810,1815
NISSAN COMPETITION,Nissan (Gamme),-,-,-
PEUGEOT 108,Peugeot 108,3475,1615,1460
KIA GAMME FIFA WORLD CUP,Kia (Gamme),-,-,-
TOYOTA COMPETITION,Toyota (Gamme),-,-,-
RENAULT FRENCH TOUCH MEGANE,Renault Mégane,4359,1806,1435
JAGUAR F TYPE CP,Jaguar F-Type,4470,1923,1309
NISSAN JUKE,Nissan Juke,4135,1765,1570
OPEL CORSA GRAPHITE,Opel Corsa,4060,1765,1433
FORD KUGA,Ford Kuga,4524,1838,1689
ABARTH 695 BIPOSTO,Abarth 695 Biposto,3660,1627,1320
PGO CEVENNES,PGO Cévennes,3250,1600,1150
NISSAN X TRAIL 4X4,Nissan X-Trail,4640,1820,1710
CITROEN C1,Citroën C1,3466,1615,1460
CITROEN JOURS CONSO,Citroën (Gamme),-,-,-
SKODA JOURS CONTRE LA MONTRE YETI,Škoda Yeti,4223,1793,1691
HYUNDAI OFFRES INCROYABLES,Hyundai (Gamme),-,-,-
PEUGEOT LES IMMANQUABLES 208,Peugeot 208,3996,1739,1460
RENAULT TWINGO,Renault Twingo,3600,1646,1559
PEUGEOT LES IMMANQUABLES 3008,Peugeot 3008,4447,1841,1624
MAZDA 3,Mazda 3,4461,1795,1455
AUDI S1,Audi S1,3973,1693,1416
KIA SPORTAGE DI REVELATION,Kia Sportage,4480,1850,1635
SKODA JOURS CONTRE LA MONTRE,Škoda (Gamme),-,-,-
NISSAN GT R NISMO,Nissan GT-R Nismo,4710,1895,1370
MERCEDES CL.C BK,Mercedes-Benz Classe C,4686,1810,1442
VW POLO CONFORTLINE,Volkswagen Polo,3972,1682,1461
FORD JOURS PISTONNES FIESTA,Ford Fiesta,4068,1735,1476
